Description,Start Date,End Date,Quantity,Unit,tCO2e,Month,Material Type
Waste Management,2022-07-27,2022-07-27,2.32,tons,0.26535,Jul '22,Waste Management
Waste Management,2022-07-20,2022-07-27,4.75,tons,0.54328125,Jul '22,Waste Management
Electricity,2022-07-22,2022-07-22,450.0,kWh,0.1232249985,Jul '22,
Electricity,2022-07-10,2022-07-22,340.0,kWh,0.0931033322,Jul '22,
Waste Management,2022-07-20,2022-07-20,3.55,tons,0.40603125,Jul '22,Waste Management
Waste Management,2022-07-15,2022-07-20,4.77,tons,0.5455687499999999,Jul '22,Waste Management
Diesel,2022-07-11,2022-07-19,228.100006,gallons,2.39216915992422,Jul '22,
Waste Management,2022-07-12,2022-07-15,6.37,tons,0.72856875,Jul '22,Waste Management
Waste Management,2022-07-12,2022-07-12,5.85,tons,0.6690937499999999,Jul '22,Waste Management
Waste Management,2022-07-01,2022-07-12,4.68,tons,0.535275,Jul '22,Waste Management
Diesel,2022-06-30,2022-07-11,131.100006,gallons,1.37489426992422,Jul '22,
Electricity,2022-06-13,2022-07-10,590.0,kWh,0.1615616647,Jul '22,
Waste Management,2022-07-01,2022-07-01,5.26,tons,0.6016125,Jul '22,Waste Management
Waste Management,2022-06-20,2022-07-01,6.2,tons,0.709125,Jul '22,Waste Management
Diesel,2022-06-16,2022-06-30,137.0,gallons,1.43676969,Jun '22,
Waste Management,2022-06-17,2022-06-20,2.32,tons,0.26535,Jun '22,Waste Management
Waste Management,2022-06-08,2022-06-17,6.61,tons,0.7560187500000001,Jun '22,Waste Management
Diesel,2022-05-24,2022-06-16,229.5,gallons,2.406851415,Jun '22,
Electricity,2022-06-02,2022-06-13,258.0,kWh,0.07064899914,Jun '22,
Waste Management,2022-05-31,2022-06-08,7.01,tons,0.80176875,Jun '22,Waste Management
Electricity,2022-05-02,2022-06-02,990.0,kWh,0.2710949967,Jun '22,
Waste Management,2022-05-25,2022-05-31,7.73,tons,0.8841187500000001,May '22,Waste Management
Waste Management,2022-05-18,2022-05-25,7.92,tons,0.90585,May '22,Waste Management
Diesel,2022-05-16,2022-05-24,56.299999,gallons,0.5904389205126299,May '22,
Waste Management,2022-05-09,2022-05-18,7.26,tons,0.8303625,May '22,Waste Management
Diesel,2022-04-27,2022-05-16,149.0,gallons,1.56261813,May '22,
Waste Management,2022-04-29,2022-05-09,8.62,tons,0.9859125,May '22,Waste Management
Electricity,2022-05-02,2022-05-02,656.0,kWh,0.17963466448,May '22,
Electricity,2022-05-02,2022-05-02,466.0,kWh,0.12760633178,May '22,
Electricity,2022-05-02,2022-05-02,357.0,kWh,0.09775849881,May '22,
Electricity,2022-05-02,2022-05-02,350.0,kWh,0.0958416655,May '22,
Electricity,2022-04-01,2022-05-02,350.0,kWh,0.0958416655,May '22,
Waste Management,2022-04-15,2022-04-29,7.36,tons,0.8418000000000001,Apr '22,Waste Management
Diesel,2022-04-13,2022-04-27,134.300003,gallons,1.40845382246211,Apr '22,
Waste Management,2022-02-22,2022-04-15,8.43,tons,0.96418125,Apr '22,Waste Management
Diesel,2022-03-28,2022-04-13,104.5,gallons,1.095930165,Apr '22,
Electricity,2022-03-02,2022-04-01,25.0,kWh,0.00684583325,Apr '22,
Diesel,2022-03-03,2022-03-28,50.099998,gallons,0.5254172160252599,Mar '22,
Diesel,2022-03-03,2022-03-03,25.514999,gallons,0.26758523506263,Mar '22,
Diesel,2022-03-03,2022-03-03,25.514999,gallons,0.26758523506263,Mar '22,
Diesel,2022-03-03,2022-03-03,11.501,gallons,0.12061524237,Mar '22,
Diesel,2022-01-19,2022-03-03,25.514999,gallons,0.26758523506263,Mar '22,
Electricity,2022-03-02,2022-03-02,25.0,kWh,0.00684583325,Mar '22,
Electricity,2022-03-02,2022-03-02,682.0,kWh,0.18675433106,Mar '22,
Electricity,2022-02-01,2022-03-02,1133.0,kWh,0.31025316289,Mar '22,
Waste Management,2022-02-22,2022-02-22,7.26,tons,0.8303625,Feb '22,Waste Management
Electricity,2022-02-01,2022-02-01,804.0,kWh,0.22016199732,Feb '22,
Electricity,2022-01-03,2022-02-01,1720.0,kWh,0.4709933276,Feb '22,
Diesel,2022-01-07,2022-01-19,74.300003,gallons,0.77921162246211,Jan '22,
Diesel,2021-12-22,2022-01-07,67.0,gallons,0.70265379,Jan '22,
Electricity,2021-12-03,2022-01-03,1980.0,kWh,0.5421899934,Jan '22,
Diesel,2021-12-22,2021-12-22,42.099998,gallons,0.44151825602526,Dec '21,
Gas,2021-11-15,2021-12-15,5.01,gallons,0.0441592422,Dec '21,
Electricity,2021-11-04,2021-12-03,986.0,kWh,0.26999966338,Dec '21,
Gas,2021-11-15,2021-11-15,20.469999,gallons,0.18042707458578,Nov '21,
